logId,userId,taskId,score
1,1,2204b7a8,88377
2,1,2204b7a8,0
3,2,75b8110e,0
4,4,1e0a9b12,48506
5,2,75b8110e,8860
6,3,007bbfb7,43520
7,3,007bbfb7,76096
8,4,08ed6ac7,85239
9,3,00d62c1b,0
10,3,00d62c1b,0
11,2,007bbfb7,0
12,3,00d62c1b,55951
13,2,007bbfb7,32255
14,5,75b8110e,0
15,3,00d62c1b,0
16,3,00d62c1b,0
17,2,00d62c1b,79611
18,3,00d62c1b,64402
19,4,00d62c1b,69933
20,3,00d62c1b,79131
21,2,017c7c7b,45206
22,7,007bbfb7,38500
23,7,007bbfb7,38115
24,5,760b3cac,77786
25,2,025d127b,51989
26,3,017c7c7b,0
27,3,017c7c7b,0
28,4,007bbfb7,69724
29,3,017c7c7b,0
30,3,017c7c7b,0
31,2,045e512c,37580
32,3,017c7c7b,0
33,4,007bbfb7,77956
34,5,007bbfb7,22680
35,7,00d62c1b,65114
36,2,0520fde7,77085
37,8,0d3d703e,77317
38,5,00d62c1b,72508
39,7,017c7c7b,0
40,4,00d62c1b,73906
41,7,017c7c7b,0
42,5,017c7c7b,65179
43,7,017c7c7b,34884
44,4,00d62c1b,74653
45,4,00d62c1b,74653
46,13,27a28665,23103
47,7,025d127b,0
48,3,025d127b,0
49,3,025d127b,0
50,2,05269061,24250
51,42,00d62c1b,0
52,4,017c7c7b,79770
53,2,05f2a901,82952
54,27,46442a0e,0
55,3,025d127b,0
56,5,0d3d703e,44936
57,44,08ed6ac7,0
58,33,272f95fa,55664
59,13,28bf18c6,59006
60,13,28bf18c6,59006
61,44,08ed6ac7,65901
62,4,025d127b,0
63,28,007bbfb7,24202
64,31,05f2a901,64848
65,30,29c11459,45258
66,2,06df4c85,72802
67,8,0962bcdd,54068
68,5,6e19193c,82455
69,7,025d127b,0
70,42,017c7c7b,0
71,43,253bf280,0
72,7,025d127b,0
74,38,05f2a901,73973
75,3,025d127b,0
77,4,025d127b,0
78,40,007bbfb7,0
79,7,0520fde7,0
80,7,0520fde7,0
81,7,0520fde7,0
82,7,0520fde7,0
83,7,0520fde7,0
84,7,0520fde7,0
85,39,007bbfb7,15807
86,7,0520fde7,0
87,7,0520fde7,0
88,7,0520fde7,0
89,30,3aa6fb7a,75551
90,7,0520fde7,0
91,7,0520fde7,0
92,28,00d62c1b,55168
93,35,05f2a901,0
94,35,05f2a901,0
95,20,007bbfb7,24590
96,34,44d8ac46,88196
97,19,0962bcdd,60514
98,19,0962bcdd,59909
99,7,0520fde7,57194
100,3,025d127b,63114
101,27,46442a0e,0
102,37,0b148d64,60440
103,13,29623171,57196
104,5,6e82a1ae,80335
105,8,0a938d79,74497
106,2,08ed6ac7,86359
107,36,8e1813be,0
108,6,08ed6ac7,90628
109,29,b548a754,63816
110,28,017c7c7b,0
111,1,1f642eb9,0
112,33,27a28665,0
113,30,3ac3eb23,61805
114,8,0b148d64,82369
115,36,8e1813be,0
116,3,025d127b,87231
117,13,29c11459,73826
118,1,2204b7a8,91082
119,39,00d62c1b,68888
120,39,00d62c1b,68200
121,19,0a938d79,62671
122,43,05f2a901,51932
123,2,09629e4f,0
124,35,08ed6ac7,55720
125,28,017c7c7b,0
126,4,025d127b,84725
127,19,0b148d64,84210
128,20,00d62c1b,49687
129,31,06df4c85,37396
130,7,05269061,46552
131,32,1f642eb9,0
132,29,b60334d2,55893
133,8,0ca9ddb6,62925
134,30,3af2c5a8,58358
135,33,27a28665,0
136,19,0ca9ddb6,78418
137,35,09629e4f,0
138,35,09629e4f,0
139,36,8e1813be,0
140,35,09629e4f,0
141,27,46442a0e,12162
142,27,46442a0e,12040
143,7,05f2a901,84298
144,8,0d3d703e,86268
145,39,017c7c7b,0
146,19,0d3d703e,86268
147,5,6ecd11f4,0
148,40,007bbfb7,4832
149,43,06df4c85,0
150,28,017c7c7b,28416
151,41,007bbfb7,15044
152,43,06df4c85,0
153,30,3bd67248,70920
154,29,b6afb2da,60693
155,39,017c7c7b,0
156,36,8e5a5113,73307
157,5,6ecd11f4,24031
158,7,06df4c85,67511
159,38,06df4c85,16700
160,39,017c7c7b,0
161,28,025d127b,0
162,2,09629e4f,21406
163,38,06df4c85,15565
164,30,3bdb4ada,73755
165,36,8eb1be9a,75099
166,3,045e512c,0
167,43,06df4c85,0
168,44,09629e4f,0
169,7,08ed6ac7,85320
170,35,0962bcdd,47116
171,40,00d62c1b,64851
172,39,025d127b,0
173,43,06df4c85,0
174,43,06df4c85,0
175,38,08ed6ac7,79524
176,33,27a28665,0
177,5,46442a0e,0
178,12,2013d3e2,2588
179,28,025d127b,0
180,40,017c7c7b,0
181,4,0520fde7,0
182,43,08ed6ac7,74795
183,34,6f8cd79b,28992
184,33,28bf18c6,0
185,5,46442a0e,51057
186,2,0962bcdd,52890
187,3,0520fde7,58236
188,46,0520fde7,71705
189,41,00d62c1b,35735
